backend,mode,batch,in_features,out_features,avg_ms,tflops
PyTorch,baseline_fp32,256,1024,1024,0.059566078186035154,9.013031046349223
PyTorch,tf32_tensor_core,256,1024,1024,0.03492863893508911,15.370507651263289
PyTorch,baseline_fp32,1024,1024,1024,0.16023551940917968,13.402045039191064
PyTorch,tf32_tensor_core,1024,1024,1024,0.039383039474487305,54.528133852928235
PyTorch,baseline_fp32,4096,1024,1024,0.6011494445800781,14.289183279542645
PyTorch,tf32_tensor_core,4096,1024,1024,0.10782719612121582,79.66389650291448
PyTorch,baseline_fp32,256,4096,4096,0.5821030426025391,14.756725121372062
PyTorch,tf32_tensor_core,256,4096,4096,0.11247615814208985,76.37115930958838
PyTorch,baseline_fp32,1024,4096,4096,1.9607551574707032,17.523727140069187
PyTorch,tf32_tensor_core,1024,4096,4096,0.2877030372619629,119.42779156938253
PyTorch,baseline_fp32,4096,4096,4096,7.22671630859375,19.018174728757867
PyTorch,tf32_tensor_core,4096,4096,4096,1.1066162872314453,124.19747934114316
PyTorch,baseline_fp32,256,8192,8192,1.9123814392089844,17.96699009074893
PyTorch,tf32_tensor_core,256,8192,8192,0.30070783615112306,114.26286327547595
PyTorch,baseline_fp32,1024,8192,8192,7.842181396484375,17.525602446994334
PyTorch,tf32_tensor_core,1024,8192,8192,1.1482521820068359,119.69404946550478
PyTorch,baseline_fp32,2048,8192,8192,14.43577880859375,19.04143244286638
PyTorch,tf32_tensor_core,2048,8192,8192,2.2597222900390626,121.64233992631382
